GROUP 1,GROUP 2
GROUP 1,GROUP 2
"hash: ""0x31d0c96328534dbfb01f9726a3552f6576c5635939561917461f1417e2c77d80"" from: ""0x64e9c292bc3400d13b23bb8b3d468032577bdc86"" to: ""0xa5185a2a427b213ecd3831b76de7aa047031ba29"" tokenSymbol: ""AVAX"" value: ""0.002""","hash: ""0x5d38ec9ff21bf66a5e85d31b82c9d9bac60d775920a48c03b66c14145cb1d7d2"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0xa9a1848aeb76edddeac27a307f9e59e55c0dd4cc"" tokenSymbol: ""AVAX"" value: ""1.5"""
"hash: ""0x299ad0dd6270eb411b98e91780b889e3d8da17411ec9bea70dd8b80dc6ec8397"" from: ""0x64e9c292bc3400d13b23bb8b3d468032577bdc86"" to: ""0xa5185a2a427b213ecd3831b76de7aa047031ba29"" tokenSymbol: ""AVAX"" value: ""0.004""","hash: ""0x52a6493ba0d5b81caa10dec91e93a511ddf2ca5d4ffe60369b64c233ed9eb948"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""2.0"""
"hash: ""0x048745b64c8eb9bb5cf18a88e62cc76fd38a8e52ffe8391f7cf0759a05eb6db3"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x64e9c292bc3400d13b23bb8b3d468032577bdc86"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xada00216d5b61f7b01ff115276f523f26a210523819ad2b5f20e41f9a4cad35f"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""1.1"""
"hash: ""0x4bd59fcaaccc6ee4ac27b623ede1436be9a40b94be11863819c24acf82558dd1"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0xa5185a2a427b213ecd3831b76de7aa047031ba29"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xf3b286f8691e971c00cb9ab0fd7ca22db19daf3d8905392b7121b09a9fd1ff48"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""0.5"""
"hash: ""0x120c23dca5a1d12233bce473d998f405493be4b2e2e725109c8ff3e24419e0d8"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0xa235e1eadf60d2b94ef36ff226d96a4ec2b8aa0e"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x609bf7b499e1f27b1c0b233b3b7965a0af37877f061f1fa48855f9397d135682"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""0.5"""
"hash: ""0x6097b7da82a765fd18a2e504e72190eb02c6eacb7830aae60ecf27e47d595f75"" from: ""0x86dc2855c5a49b1e2f0ef159d082fb2d61acf806"" to: ""0xa235e1eadf60d2b94ef36ff226d96a4ec2b8aa0e"" tokenSymbol: ""AVAX"" value: ""0.002""","hash: ""0x84c32eb29cd791aa51053db4b358540fd7b3712a3acd4739c4fca15abb19c2a8"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""0.2"""
"hash: ""0x01794d76c1ed3e33adc55685661ffe15e573ef6f75ccf89d5fc0c8455cc8b5b6"" from: ""0x86dc2855c5a49b1e2f0ef159d082fb2d61acf806"" to: ""0xa235e1eadf60d2b94ef36ff226d96a4ec2b8aa0e"" tokenSymbol: ""AVAX"" value: ""0.002""","hash: ""0xc7693a916a29f787c80dd53f1218c3483845711a1c7d6ce4b3a63e72da030de6"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0x91e671722393369e4f8dce1b2e3ed0acb53a4360"" tokenSymbol: ""AVAX"" value: ""1.5"""
"hash: ""0xcf775746401e87db5c61dc645756f726b4587055ed6b9b879d9a245f8657b067"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0xa235e1eadf60d2b94ef36ff226d96a4ec2b8aa0e"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0x7cf0c2804f6a596eb88010bc87e9655a90d05cfb45f0994864c6e73ddde7efd8"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0xa636c5ba9c342978ce1d9fdc551e331a4d25344d"" tokenSymbol: ""AVAX"" value: ""1.0"""
"hash: ""0x5e1a9ad5086f3e95737b11d6617d7edfbfd8e319f3461458d2845d325a21fd6c"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0xa9174b240ea4001c7b228916ce34791b111e6fbb"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xf4b28660d23d69354f06b79d629f57e41f39b65c3cbcfc7a2c44b2c9b3106d71"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0xa636c5ba9c342978ce1d9fdc551e331a4d25344d"" tokenSymbol: ""AVAX"" value: ""0.2"""
"hash: ""0x64fabefd9e0693d93e8dc0713027f0d596f87dce38e679774452722ee645c039"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0xa9174b240ea4001c7b228916ce34791b111e6fbb"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x0958db85ab0c74c456b1f7e0c4ddb4a2c9d048b5c5dfde1fbd4a9a2aced37501"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0xa636c5ba9c342978ce1d9fdc551e331a4d25344d"" tokenSymbol: ""AVAX"" value: ""0.5"""
"hash: ""0x74233e26632cdd4443139323b06d29512a855bd3300416e166ad92aadf2f92c1"" from: ""0x844203780009ed82a1d2c9c220f71f88091f018e"" to: ""0x7e17ae9810d037750ee33922bb1de2cb30e427b9"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xfadb79fac77d260ae479635b24f82cefecdd055fd8faf406b5154b80b37abe8e"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0xa636c5ba9c342978ce1d9fdc551e331a4d25344d"" tokenSymbol: ""AVAX"" value: ""0.5"""
"hash: ""0x337dc89492407b3622b90fb83efd4528ed5df6e2a8991db945c4d71771bf3cf5"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x844203780009ed82a1d2c9c220f71f88091f018e"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x29225692346b6700ab760a2be2fc84d021e35ad6fd53d35cc36f1883fe428cdc"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""2.0"""
"hash: ""0xa40933dc8e3da438864b721a717316123485778415df15e2bfa765fb096c4d68"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x844203780009ed82a1d2c9c220f71f88091f018e"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x206bc8ecc7b42fb7d0c109183ec3367316b40f9c596b5cd05815673c33e78dc2"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""1.0"""
"hash: ""0x9500d34b610809850eeea68ec0a93bf333049f6549be528568fadb3beaaf897a"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x844203780009ed82a1d2c9c220f71f88091f018e"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0x33043a1ec5c066c55d3d342f4432f8e6939a42613ed2a403a7fd5a495bf86e45"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""0.6"""
"hash: ""0x78ae17786b1201311392f361b3a536601cc7f693427aa6084228f4c9b2ae777a"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x780d1ad5d26113a92f7124560606c830b1ceaf6e"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xf16600f846bf8717c81b96a4d8501be709bd1fa5a19ee45a1642a58ae60337ba"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""0.1"""
"hash: ""0xcaf37d728c54aef8b6b8246fe2d58207600e27224f0770b7aea7bc5316e88fed"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x780d1ad5d26113a92f7124560606c830b1ceaf6e"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xd0faf9c8d9164f8a3f714e6c57ecb39fd63d689298a50f1fc389b58372dfc1a3"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""0.2"""
"hash: ""0x2a9d1cc783efcddada747df5789902bf038fca590c0da0a51242f221f7003bad"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x780d1ad5d26113a92f7124560606c830b1ceaf6e"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x64492dbd8ba1da25857776f98b5cf0b2d2e420d2efcf602c48858bd45d32497c"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0x7a0f05b15624f2c6047fad7381a93be58b410bc0"" tokenSymbol: ""AVAX"" value: ""1.5"""
"hash: ""0x677b7cbfd5cedf9ca99796dccd3f3a109aefa12d393e5b18510809d108d7a3b1"" from: ""0x983bd09815948d887b84f982b0cb269383c93cae"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0x228938e4455333ecf1048edc18291a17776e98bba60c54451b0ab438c28aa436"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x85afb4943f783657586fedd0854275138b66ce33"" tokenSymbol: ""AVAX"" value: ""1.0"""
"hash: ""0x2968dcf3d72e2646f52c31d81ac945f9dc02034240283b45468e1117a6905fc7"" from: ""0x86dc2855c5a49b1e2f0ef159d082fb2d61acf806"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.002""","hash: ""0x9d64b313bb76d92532b15100230b1f384dab0b54d6a5ffd55103d1c87de09448"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x85afb4943f783657586fedd0854275138b66ce33"" tokenSymbol: ""AVAX"" value: ""0.2"""
"hash: ""0xafc45ffb27fc412993e9ff00f7c86b6670ed01770b8b543280629c764fe32a07"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.01""","hash: ""0xa2348b4ab8ba4d0706d5e88d454e46f9e14d02b2ea79b8ef9de671eed62d985c"" from: ""0x80026fd66d0cd4ae23fdaab33926e5e94ecbc240"" to: ""0x85afb4943f783657586fedd0854275138b66ce33"" tokenSymbol: ""AVAX"" value: ""0.7"""
"hash: ""0x43b74ca9a36720fbefed71186d1e1b37bb138fbbc3a12e7abf314dcb97141cd6"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xde7ba9a5a61a8b6708335bcc5f80a38dc9c1048f47fea56e5b73c0942f7c3ed4"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x9556664e6df3826eeea46f1741f75279b7ef8423"" tokenSymbol: ""AVAX"" value: ""2.0"""
"hash: ""0x0970b286428a95d47ae43a58718f4f2cac9251ca7cc9ef6fb88c5b0c8d1a732a"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.02""","hash: ""0xbd8f89059c04c6417a41438f09bf1e99475d4981d0505cb3ca50d3c832e62e8b"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x9556664e6df3826eeea46f1741f75279b7ef8423"" tokenSymbol: ""AVAX"" value: ""1.0"""
"hash: ""0x18a3691cf282ccac75d8fa7ac91a95217c78fc7364d6f0e1861b65ff133c92f4"" from: ""0x873239369bd2a85f4478b1068c55bad53f2d371d"" to: ""0x6b459b660b113ba9f3f875932a83f04fdd9c7ab9"" tokenSymbol: ""AVAX"" value: ""0.1""","hash: ""0x84b2b19b40e685082b8780cbe200f1796ef8223018c2ce486c276dd4eb3f72f6"" from: ""0x9dbcc76199de962d35e3db9b133563f28178227f"" to: ""0x9556664e6df3826eeea46f1741f75279b7ef8423"" tokenSymbol: ""AVAX"" value: ""0.25"""
